1-й тур
23.04.2022 Норвич  -  Ньюкасл Юнайтед _ : _
23.04.2022 Челси  -  Вест Хэм Юнайтед _ : _
35-й тур
30.04.2022 Астон Вилла  -  Норвич _ : _
30.04.2022 Вест Хэм Юнайтед  -  Арсенал _ : _
30.04.2022 Вулверхэмптон Уондерерс  -  Брайтон & Хоув _ : _
30.04.2022 Лидс  -  Манчестер Сити _ : _
30.04.2022 Манчестер Юнайтед  -  Брентфорд _ : _
30.04.2022 Ньюкасл Юнайтед  -  Ливерпуль _ : _
30.04.2022 Саутгемптон  -  Кристал Пэлас _ : _
30.04.2022 Тоттенхэм Хотспур  -  Лестер _ : _
30.04.2022 Уотфорд  -  Бернли _ : _
30.04.2022 Эвертон  -  Челси _ : _
36-й тур
07.05.2022 Арсенал  -  Лидс _ : _
07.05.2022 Бернли  -  Астон Вилла _ : _
07.05.2022 Брайтон & Хоув  -  Манчестер Юнайтед _ : _
07.05.2022 Брентфорд  -  Саутгемптон _ : _
07.05.2022 Кристал Пэлас  -  Уотфорд _ : _
07.05.2022 Лестер  -  Эвертон _ : _
07.05.2022 Ливерпуль  -  Тоттенхэм Хотспур _ : _
07.05.2022 Манчестер Сити  -  Ньюкасл Юнайтед _ : _
07.05.2022 Норвич  -  Вест Хэм Юнайтед _ : _
07.05.2022 Челси  -  Вулверхэмптон Уондерерс _ : _
37-й тур
15.05.2022 Астон Вилла  -  Кристал Пэлас _ : _
15.05.2022 Вест Хэм Юнайтед  -  Манчестер Сити _ : _
15.05.2022 Вулверхэмптон Уондерерс  -  Норвич _ : _
15.05.2022 Лидс  -  Брайтон & Хоув _ : _
15.05.2022 Манчестер Юнайтед  -  Челси _ : _
15.05.2022 Ньюкасл Юнайтед  -  Арсенал _ : _
15.05.2022 Саутгемптон  -  Ливерпуль _ : _
15.05.2022 Тоттенхэм Хотспур  -  Бернли _ : _
15.05.2022 Уотфорд  -  Лестер _ : _
15.05.2022 Эвертон  -  Брентфорд _ : _
38-й тур
22.05.2022 Арсенал  -  Эвертон _ : _
22.05.2022 Бернли  -  Ньюкасл Юнайтед _ : _
22.05.2022 Брайтон & Хоув  -  Вест Хэм Юнайтед _ : _
22.05.2022 Брентфорд  -  Лидс _ : _
22.05.2022 Кристал Пэлас  -  Манчестер Юнайтед _ : _
22.05.2022 Лестер  -  Саутгемптон _ : _
22.05.2022 Ливерпуль  -  Вулверхэмптон Уондерерс _ : _
22.05.2022 Манчестер Сити  -  Астон Вилла _ : _
22.05.2022 Норвич  -  Тоттенхэм Хотспур _ : _
22.05.2022 Челси  -  Уотфорд _ : _
